blue,green,red,ndwi,brightness,label,source_file
0.16140299,0.12369976,0.123735584,-0.00014477417,0.13627945,0,GSL_2004_05.tif
0.39850894,0.35920268,0.3428444,0.023300804,0.36685202,0,GSL_2004_05.tif
0.629056,0.57786053,0.5756388,0.0019261054,0.5941851,0,GSL_2004_05.tif
0.08446335,0.05799994,0.08105507,-0.16579743,0.07450613,0,GSL_2004_05.tif
0.1383279,0.10296108,0.0974314,0.027594108,0.11290679,0,GSL_2004_05.tif
0.2765066,0.23427875,0.2148956,0.04315274,0.24189365,0,GSL_2004_05.tif
0.5902463,0.53707993,0.5416799,-0.004264141,0.5563354,0,GSL_2004_05.tif
0.7465045,0.70872736,0.72140205,-0.008862611,0.72554463,0,GSL_2004_05.tif
0.079739586,0.057631068,0.07182309,-0.10962886,0.06973125,0,GSL_2004_05.tif
0.17207395,0.15456188,0.12698302,0.09795511,0.15120627,0,GSL_2004_05.tif
0.42392892,0.37256396,0.38023624,-0.010191641,0.39224306,0,GSL_2004_05.tif
0.7274055,0.6852017,0.68215454,0.0022285092,0.6982539,0,GSL_2004_05.tif
0.75717545,0.71315384,0.72186595,-0.006071071,0.7307317,0,GSL_2004_05.tif
0.05515396,0.116879,0.13019939,-0.05391136,0.10074412,1,GSL_1995_11.tif
0.059059203,0.11510213,0.13571669,-0.08218873,0.103292674,1,GSL_1995_11.tif
0.056178287,0.11179714,0.12733857,-0.064989746,0.098438,1,GSL_1995_11.tif
0.054129634,0.114036,0.13142546,-0.07084364,0.0998637,1,GSL_1995_11.tif
0.050192382,0.11627486,0.12631685,-0.04139441,0.0975947,1,GSL_1995_11.tif
0.07663279,0.12686503,0.1471191,-0.07392399,0.11687231,1,GSL_1995_11.tif
0.08434725,0.13336839,0.15774502,-0.08373556,0.12515356,1,GSL_1995_11.tif
0.05928327,0.11368062,0.13567582,-0.08820749,0.102879904,1,GSL_1995_11.tif
0.05854704,0.11698561,0.13461323,-0.07006212,0.10338196,1,GSL_1995_11.tif
0.056690447,0.118371576,0.1334689,-0.05994771,0.10284364,1,GSL_1995_11.tif
0.078585416,0.128251,0.15169641,-0.08374905,0.11951094,1,GSL_1995_11.tif
0.08626786,0.13638908,0.15582417,-0.06650973,0.12616037,1,GSL_1995_11.tif
0.08162638,0.13247995,0.15970671,-0.09318244,0.12460435,1,GSL_1995_11.tif
0.08188246,0.13383038,0.15504767,-0.07344695,0.12358683,1,GSL_1995_11.tif
0.0769529,0.13240889,0.15807196,-0.08834658,0.12247792,1,GSL_1995_11.tif
0.0681821,0.12828653,0.14033487,-0.04485236,0.11226783,1,GSL_1995_11.tif
0.07496826,0.12814438,0.14409481,-0.05858953,0.11573583,1,GSL_1995_11.tif
0.082778744,0.1294948,0.16175017,-0.110749565,0.12467458,1,GSL_1995_11.tif
0.08079412,0.12672289,0.15324944,-0.094746724,0.12025548,1,GSL_1995_11.tif
0.07887351,0.13226673,0.1471191,-0.053160608,0.11941978,1,GSL_1995_11.tif
0.05172887,0.107674785,0.12709336,-0.082713485,0.09549901,1,GSL_1995_11.tif
0.07490424,0.12672289,0.13935402,-0.047471553,0.11366039,1,GSL_1995_11.tif
0.049296096,0.112863265,0.1241508,-0.047623694,0.095436715,1,GSL_1995_11.tif
0.04443055,0.11115746,0.12586729,-0.06206005,0.09381843,1,GSL_1995_11.tif
0.068054065,0.12245838,0.13812795,-0.06013174,0.1095468,1,GSL_1995_11.tif
0.30406418,0.21190536,0.17826678,0.0862145,0.2314121,0,GSL_2002_10.tif
0.29269642,0.1922346,0.18513155,0.018822664,0.22335418,0,GSL_2002_10.tif
0.30020165,0.22020572,0.1817907,0.09556038,0.23406602,0,GSL_2002_10.tif
0.26452827,0.16047338,0.12124342,0.13925268,0.1820817,0,GSL_2002_10.tif
0.17167068,0.10369732,0.07552405,0.15719733,0.11696401,0,GSL_2002_10.tif
0.20209983,0.13409412,0.14060207,-0.023691352,0.158932,0,GSL_2002_10.tif
0.19657297,0.12916695,0.11250228,0.06895623,0.14608073,0,GSL_2002_10.tif
0.18385491,0.12173831,0.103120424,0.082797766,0.13623787,0,GSL_2002_10.tif
0.18372929,0.13481423,0.096759066,0.16433243,0.13843419,0,GSL_2002_10.tif
0.16130781,0.113437936,0.079459846,0.17614466,0.11806854,0,GSL_2002_10.tif
0.24593791,0.16934226,0.16037261,0.027204176,0.19188428,0,GSL_2002_10.tif
0.1706972,0.103811026,0.07744618,0.14545465,0.11731813,0,GSL_2002_10.tif
0.16281514,0.10373522,0.074654505,0.16301699,0.11373496,0,GSL_2002_10.tif
0.15552972,0.09634448,0.061702974,0.21918282,0.10452572,0,GSL_2002_10.tif
0.1395772,0.096875094,0.060833436,0.22853191,0.09909525,0,GSL_2002_10.tif
0.15907823,0.11404436,0.07859031,0.18404716,0.11723763,0,GSL_2002_10.tif
0.20593095,0.12848473,0.09534035,0.14808096,0.143252,0,GSL_2002_10.tif
0.15989469,0.09706461,0.07520369,0.12689969,0.11072099,0,GSL_2002_10.tif
0.15898402,0.10259818,0.06879657,0.19721384,0.11012626,0,GSL_2002_10.tif
0.15326874,0.09778473,0.061931796,0.22447714,0.10432842,0,GSL_2002_10.tif
0.21679626,0.14796597,0.11758221,0.11441857,0.16078149,0,GSL_2002_10.tif
0.22546339,0.15141498,0.12531652,0.09430934,0.16739829,0,GSL_2002_10.tif
0.19358972,0.14349362,0.11373793,0.11567621,0.15027376,0,GSL_2002_10.tif
0.2626127,0.18927832,0.16398805,0.07158959,0.20529301,0,GSL_2002_10.tif
0.30029586,0.21414153,0.18787746,0.06533026,0.23410495,0,GSL_2002_10.tif
0.123146914,0.04753929,0.06218778,-0.1334981,0.077624656,1,GSL_2025_08.tif
0.12317606,0.057832193,0.08417426,-0.18549778,0.08839417,1,GSL_2025_08.tif
0.11932951,0.055597547,0.08397499,-0.20331535,0.08630068,1,GSL_2025_08.tif
0.1233509,0.054920383,0.090683855,-0.24561942,0.08965171,1,GSL_2025_08.tif
0.11402594,0.052821174,0.083775714,-0.22661068,0.083540946,1,GSL_2025_08.tif
0.118746705,0.052821174,0.064047664,-0.09605978,0.078538515,1,GSL_2025_08.tif
0.113792814,0.04009048,0.048836473,-0.09834921,0.06757326,1,GSL_2025_08.tif
0.12317606,0.052821174,0.092477314,-0.27292693,0.08949152,1,GSL_2025_08.tif
0.10167037,0.04144481,0.042659003,-0.01443669,0.061924726,1,GSL_2025_08.tif
0.10813956,0.04273142,0.04212761,0.0071153636,0.064332865,1,GSL_2025_08.tif
0.111811265,0.04692984,0.057770558,-0.10353938,0.072170556,1,GSL_2025_08.tif
0.11344313,0.052414875,0.051427025,0.009512929,0.072428346,1,GSL_2025_08.tif
0.118601,0.05424322,0.07105544,-0.13417614,0.08129989,1,GSL_2025_08.tif
0.11344313,0.05288889,0.09094955,-0.2646052,0.08576053,1,GSL_2025_08.tif
0.11685257,0.05217787,0.068298824,-0.13380863,0.07910975,1,GSL_2025_08.tif
0.10813956,0.047607005,0.057305586,-0.09244351,0.071017385,1,GSL_2025_08.tif
0.10639113,0.047234565,0.055943884,-0.08440944,0.069856524,1,GSL_2025_08.tif
0.12043685,0.05302432,0.051427025,0.015292107,0.07496273,1,GSL_2025_08.tif
0.12136935,0.052753456,0.08749548,-0.2477151,0.087206095,1,GSL_2025_08.tif
0.10458442,0.040361345,0.08497135,-0.35592988,0.076639034,1,GSL_2025_08.tif
0.11455047,0.048385743,0.06969374,-0.18045314,0.07754332,1,GSL_2025_08.tif
0.106799096,0.04459362,0.049699992,-0.05415337,0.0670309,1,GSL_2025_08.tif
0.1092469,0.04408575,0.0483715,-0.046353385,0.06723472,1,GSL_2025_08.tif
0.12107794,0.061082583,0.1052308,-0.2654504,0.0957971,1,GSL_2025_08.tif
0.10050475,0.043002285,0.09065064,-0.35650548,0.07805256,1,GSL_2025_08.tif
0.5233428,0.44863167,0.3719323,0.09347142,0.44796893,0,GSL_2001_11.tif
0.5530931,0.498299,0.4339173,0.06906296,0.49510312,0,GSL_2001_11.tif
0.5619968,0.51875764,0.47216487,0.047019545,0.5176398,0,GSL_2001_11.tif
0.55594546,0.50361824,0.4451873,0.061583616,0.50158364,0,GSL_2001_11.tif
0.55815804,0.50541234,0.45075187,0.05716634,0.5047741,0,GSL_2001_11.tif
0.5549058,0.49924326,0.4353965,0.06831156,0.49651518,0,GSL_2001_11.tif
0.5747926,0.5225976,0.46723425,0.055932026,0.52154154,0,GSL_2001_11.tif
0.5803375,0.53367674,0.46899518,0.06450913,0.52766985,0,GSL_2001_11.tif
0.57148707,0.52114975,0.4554712,0.06725076,0.516036,0,GSL_2001_11.tif
0.56562227,0.5091893,0.45349893,0.05784876,0.50943685,0,GSL_2001_11.tif
0.64650255,0.59039444,0.5187241,0.06461915,0.585207,0,GSL_2001_11.tif
0.6315208,0.57748973,0.51160985,0.060490172,0.57354015,0,GSL_2001_11.tif
0.58689535,0.5324807,0.46533245,0.067295365,0.52823615,0,GSL_2001_11.tif
0.5651958,0.51510656,0.44730043,0.07045466,0.50920093,0,GSL_2001_11.tif
0.5693544,0.51460296,0.46195143,0.053915553,0.51530296,0,GSL_2001_11.tif
0.6894219,0.6476787,0.5816952,0.053672377,0.6395986,0,GSL_2001_11.tif
0.6174987,0.5662218,0.4973815,0.06472357,0.56036735,0,GSL_2001_11.tif
0.56978095,0.52052027,0.45448506,0.06772798,0.51492876,0,GSL_2001_11.tif
0.61696553,0.5762937,0.5191467,0.052168038,0.570802,0,GSL_2001_11.tif
0.591054,0.5362577,0.47188312,0.06385468,0.5330649,0,GSL_2001_11.tif
0.6010774,0.5292703,0.45596424,0.0744046,0.5287706,0,GSL_2001_11.tif
0.5672751,0.49389252,0.41990024,0.08097263,0.4936893,0,GSL_2001_11.tif
0.62522954,0.57239085,0.50358003,0.06395225,0.56706685,0,GSL_2001_11.tif
0.63898504,0.58611387,0.52133024,0.058498286,0.582143,0,GSL_2001_11.tif
0.57644546,0.52700406,0.45814782,0.06989396,0.5205324,0,GSL_2001_11.tif
0.3407821,0.20259793,0.28194168,-0.16375045,0.27510723,0,GSL_2020_04.tif
0.3043018,0.15956499,0.26014096,-0.2396338,0.24133591,0,GSL_2020_04.tif
0.3468151,0.20846987,0.29435134,-0.17079888,0.2832121,0,GSL_2020_04.tif
0.29731622,0.1650175,0.2527203,-0.2099465,0.23835135,0,GSL_2020_04.tif
0.23779762,0.12739514,0.22320546,-0.27327406,0.19613273,0,GSL_2020_04.tif
0.29054233,0.12089406,0.23917869,-0.3285011,0.2168717,0,GSL_2020_04.tif
0.26514018,0.13054082,0.24152647,-0.29829377,0.21240248,0,GSL_2020_04.tif
0.2213568,0.10629809,0.20471676,-0.3164426,0.17745721,0,GSL_2020_04.tif
0.26461098,0.12076823,0.22056422,-0.29237098,0.20198114,0,GSL_2020_04.tif
0.3143921,0.17332211,0.2588832,-0.19796354,0.2488658,0,GSL_2020_04.tif
0.265493,0.13087636,0.22714636,-0.26889277,0.20783858,0,GSL_2020_04.tif
0.26796263,0.14865996,0.23708247,-0.22922622,0.21790169,0,GSL_2020_04.tif
0.25632,0.14786305,0.23066802,-0.21875286,0.21161704,0,GSL_2020_04.tif
0.26817432,0.14496902,0.2349024,-0.23674627,0.21601526,0,GSL_2020_04.tif
0.28592053,0.15100873,0.24265842,-0.23280951,0.22652924,0,GSL_2020_04.tif
0.24594747,0.12714349,0.20865765,-0.24274462,0.1939162,0,GSL_2020_04.tif
0.26556355,0.14538844,0.22316353,-0.21102825,0.21137184,0,GSL_2020_04.tif
0.2317646,0.10898241,0.2048006,-0.30536354,0.1818492,0,GSL_2020_04.tif
0.2804873,0.16577247,0.23716632,-0.17718242,0.2278087,0,GSL_2020_04.tif
0.3044782,0.167576,0.250121,-0.19761884,0.24072509,0,GSL_2020_04.tif
0.24785262,0.1406909,0.21243086,-0.20315872,0.20032479,0,GSL_2020_04.tif
0.2471823,0.12026492,0.20266245,-0.25515732,0.19003655,0,GSL_2020_04.tif
0.26111817,0.13049887,0.22630787,-0.26851714,0.20597498,0,GSL_2020_04.tif
0.2975279,0.17021836,0.25129488,-0.19234584,0.2396804,0,GSL_2020_04.tif
0.34035873,0.21526454,0.27246675,-0.11728197,0.27603,0,GSL_2020_04.tif
0.18110347,0.14003953,0.14237867,-0.008282509,0.15450722,1,GSL_2019_12.tif
0.18149416,0.14035492,0.14327106,-0.010281611,0.15504004,1,GSL_2019_12.tif
0.1819337,0.14003953,0.14541762,-0.018840179,0.15579695,1,GSL_2019_12.tif
0.16689187,0.135414,0.13470894,0.0026101475,0.1456716,1,GSL_2019_12.tif
0.16313142,0.1352563,0.13355124,0.0063430476,0.14397965,1,GSL_2019_12.tif
0.18227556,0.14061773,0.14167923,-0.0037602081,0.1548575,1,GSL_2019_12.tif
0.18212904,0.14082798,0.14208925,-0.0044580516,0.15501542,1,GSL_2019_12.tif
0.1832523,0.14119592,0.14594823,-0.016550194,0.15679882,1,GSL_2019_12.tif
0.17128721,0.1358345,0.1375067,-0.0061175823,0.14820947,1,GSL_2019_12.tif
0.16303374,0.13431017,0.13359948,0.002652735,0.14364779,1,GSL_2019_12.tif
0.18393601,0.13593963,0.14187218,-0.021354502,0.15391594,1,GSL_2019_12.tif
0.18398486,0.14208949,0.14249927,-0.001439904,0.15619121,1,GSL_2019_12.tif
0.1862802,0.14424457,0.1475883,-0.011457653,0.15937102,1,GSL_2019_12.tif
0.18544997,0.143351,0.14459759,-0.004329182,0.15779953,1,GSL_2019_12.tif
0.18349649,0.14198436,0.1427887,-0.0028244667,0.15608984,1,GSL_2019_12.tif
0.18750113,0.13651782,0.1351672,0.0049712765,0.15306205,1,GSL_2019_12.tif
0.18794066,0.13709602,0.13528778,0.0066385525,0.15344149,1,GSL_2019_12.tif
0.18847787,0.1385152,0.14196865,-0.012312423,0.15632057,1,GSL_2019_12.tif
0.18740346,0.13756908,0.1416551,-0.0146334125,0.15554255,1,GSL_2019_12.tif
0.17580464,0.13565053,0.13347888,0.008069138,0.14831135,1,GSL_2019_12.tif
0.18940578,0.13762164,0.13577016,0.0067722495,0.15426587,1,GSL_2019_12.tif
0.19028485,0.1378319,0.1354325,0.008780474,0.15451641,1,GSL_2019_12.tif
0.19067554,0.13898827,0.13649371,0.009055218,0.15538585,1,GSL_2019_12.tif
0.18964997,0.13883059,0.13651784,0.008399325,0.15499946,1,GSL_2019_12.tif
0.18754996,0.13798958,0.13577016,0.008107166,0.1537699,1,GSL_2019_12.tif
0.466476,0.39115024,0.3773213,0.01799535,0.4116492,0,GSL_1998_11.tif
0.29315183,0.21836972,0.21126288,0.01654163,0.24092813,0,GSL_1998_11.tif
0.17897832,0.11513704,0.14261645,-0.10661078,0.14557727,0,GSL_1998_11.tif
0.20233998,0.12324167,0.15312105,-0.10811616,0.15956756,0,GSL_1998_11.tif
0.25073197,0.15677457,0.14768553,0.029852869,0.18506403,0,GSL_1998_11.tif
0.55114007,0.48941883,0.4710078,0.019169627,0.5038555,0,GSL_1998_11.tif
0.32981908,0.2511428,0.24076131,0.02110466,0.27390775,0,GSL_1998_11.tif
0.17897832,0.1055128,0.118675694,-0.05871326,0.13438894,0,GSL_1998_11.tif
